model_short,benchmark_rule,public_history_margin_mid,original_is_stag,n_cells,original_is_stag_low,original_is_stag_high
kimi-k2.5,Carryover,-0.4,0.37878787878787884,11,0.15151515151515152,0.6515151515151515
kimi-k2.5,Carryover,-0.3,0.35714285714285715,7,0.14285714285714285,0.6428571428571429
kimi-k2.5,Carryover,-0.2,0.38461538461538464,13,0.17948717948717946,0.6025641025641025
kimi-k2.5,Carryover,-0.1,0.8016528925619835,22,0.6590909090909091,0.9090909090909091
kimi-k2.5,Carryover,0.0,0.86,25,0.7395,0.96
kimi-k2.5,Carryover,0.1,0.9285714285714286,21,0.8333333333333334,1.0
kimi-k2.5,Carryover,0.2,0.9575569358178054,23,0.9057971014492753,1.0
kimi-k2.5,Carryover,0.3,0.9482758620689655,29,0.8620689655172413,1.0
kimi-k2.5,Carryover,0.4,1.0,13,1.0,1.0
kimi-k2.5,Carryover,0.5,0.9875776397515529,23,0.9627329192546583,1.0
kimi-k2.5,Carryover,0.6000000000000001,1.0,9,1.0,1.0
kimi-k2.5,Carryover,0.7,1.0,9,1.0,1.0
kimi-k2.5,Carryover,0.8,1.0,6,1.0,1.0
kimi-k2.5,Naive aggregate,-0.7005,0.5,6,0.16666666666666666,0.8333333333333334
kimi-k2.5,Naive aggregate,-0.6000000000000001,0.2740740740740741,6,0.05555555555555555,0.5740740740740741
kimi-k2.5,Naive aggregate,-0.4,0.6041666666666666,8,0.3328125,0.875
kimi-k2.5,Naive aggregate,-0.3,0.6333333333333334,7,0.35690476190476195,0.8714285714285713
kimi-k2.5,Naive aggregate,-0.2,0.8333333333333333,8,0.5822916666666667,1.0
kimi-k2.5,Naive aggregate,-0.1,0.7999999999999999,12,0.6666666666666666,0.9333333333333332
kimi-k2.5,Naive aggregate,0.0,0.9916666666666667,12,0.9666666666666668,1.0
kimi-k2.5,Naive aggregate,0.1,0.9666666666666667,15,0.9219444444444445,1.0
kimi-k2.5,Naive aggregate,0.2,1.0,7,1.0,1.0
kimi-k2.5,Naive aggregate,0.3,1.0,18,1.0,1.0
kimi-k2.5,Naive aggregate,0.4,1.0,8,1.0,1.0
kimi-k2.5,Naive aggregate,0.5,0.9777777777777777,15,0.9333333333333332,1.0
kimi-k2.5,Naive aggregate,0.6000000000000001,1.0,7,1.0,1.0
kimi-k2.5,Naive aggregate,0.8,1.0,7,1.0,1.0
kimi-k2.5,Naive aggregate,1.0,1.0,9,1.0,1.0
kimi-k2.5,Trust-weighted,-0.4,0.4166666666666667,10,0.18291666666666667,0.7
kimi-k2.5,Trust-weighted,-0.3,0.2708333333333333,8,0.08333333333333333,0.5416666666666666
kimi-k2.5,Trust-weighted,-0.2,0.38888888888888884,12,0.19444444444444442,0.5697916666666664
kimi-k2.5,Trust-weighted,-0.1,0.7842712842712842,21,0.6493506493506493,0.8968253968253967
kimi-k2.5,Trust-weighted,0.0,0.85,25,0.72,0.9402499999999997
kimi-k2.5,Trust-weighted,0.1,0.925,20,0.8,1.0
kimi-k2.5,Trust-weighted,0.2,0.9565217391304348,23,0.8913043478260869,1.0
kimi-k2.5,Trust-weighted,0.3,0.951388888888889,28,0.8709325396825397,1.0
kimi-k2.5,Trust-weighted,0.4,0.9444444444444444,18,0.8333333333333334,1.0
kimi-k2.5,Trust-weighted,0.5,0.99,25,0.97,1.0
kimi-k2.5,Trust-weighted,0.6000000000000001,0.9777777777777777,15,0.9333333333333332,1.0
kimi-k2.5,Trust-weighted,0.7,1.0,10,1.0,1.0
kimi-k2.5,Trust-weighted,0.8,1.0,6,1.0,1.0
llama-3.1-8b,Carryover,-0.4,0.47916666666666663,8,0.24947916666666667,0.6875
