num_agents,stag_success_threshold,liar_share,honest_original_stag_rate,intended_success,public_success,flip_induced_loss,shared_failure,n_models,n_cells,honest_original_stag_rate_low,honest_original_stag_rate_high,intended_success_low,intended_success_high,public_success_low,public_success_high,flip_induced_loss_low,flip_induced_loss_high,shared_failure_low,shared_failure_high
5,1,0.2,0.9603174603174603,0.996031746031746,0.9880952380952381,0.011904761904761904,0.0,7,21,0.8649801587301587,1.0,0.9841269841269842,1.0,0.9523809523809523,1.0,0.0,0.047619047619047616,0.0,0.0
5,1,0.4,0.9523809523809523,1.0,0.9841269841269842,0.015873015873015872,0.0,7,21,0.843915343915344,1.0,1.0,1.0,0.9365079365079365,1.0,0.0,0.06349206349206349,0.0,0.0
5,1,0.6,0.9226190476190477,0.9880952380952381,1.0,0.0,0.0,7,21,0.7916666666666666,1.0,0.9523809523809524,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,1,0.8,0.9007936507936508,1.0,0.9523809523809524,0.047619047619047616,0.0,7,21,0.6865079365079365,1.0,1.0,1.0,0.8095238095238094,1.0,0.0,0.19047619047619047,0.0,0.0
5,2,0.2,0.9652777777777778,1.0,0.9761904761904762,0.023809523809523808,0.0,7,21,0.8908234126984127,1.0,1.0,1.0,0.9047619047619048,1.0,0.0,0.09523809523809523,0.0,0.0
5,2,0.4,0.9761904761904762,1.0,1.0,0.0,0.0,7,21,0.9126984126984128,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,2,0.6,0.9761904761904763,1.0,1.0,0.0,0.0,7,21,0.9401785714285714,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,2,0.8,0.7301587301587301,0.9880952380952381,0.38492063492063494,0.615079365079365,0.0,7,21,0.5594246031746031,0.8730158730158731,0.9523809523809524,1.0,0.1943452380952381,0.5754960317460316,0.42450396825396824,0.8056547619047618,0.0,0.0
5,3,0.2,0.9632936507936509,0.9722222222222222,0.9722222222222222,0.0,0.027777777777777773,7,21,0.9077380952380951,1.0,0.9246031746031745,1.0,0.9246031746031745,1.0,0.0,0.0,0.0,0.07539682539682539
5,3,0.4,0.835978835978836,0.8690476190476192,0.7896825396825397,0.08333333333333334,0.12698412698412698,7,21,0.7103174603174603,0.9523809523809524,0.7261904761904762,0.9761904761904763,0.6269841269841271,0.9523809523809523,0.0,0.27380952380952384,0.023809523809523808,0.2619047619047619
5,3,0.6,0.6448412698412698,0.8412698412698413,0.26587301587301587,0.611111111111111,0.12301587301587301,7,21,0.5297619047619048,0.7619543650793651,0.7063492063492064,0.9524801587301587,0.13492063492063494,0.4287698412698411,0.41666666666666663,0.7857142857142857,0.023710317460317466,0.2619047619047619
5,3,0.8,0.5158730158730159,0.7777777777777778,0.12301587301587302,0.6587301587301587,0.21825396825396828,7,21,0.36111111111111116,0.6785714285714286,0.6626984126984128,0.8929563492063491,0.007936507936507936,0.3016865079365078,0.4918650793650794,0.8015873015873016,0.10317460317460317,0.33730158730158727
5,4,0.2,0.7172619047619049,0.7063492063492064,0.6626984126984127,0.05555555555555556,0.28174603174603174,7,21,0.44925595238095234,0.9465773809523808,0.41269841269841273,0.9444444444444444,0.38095238095238093,0.9285714285714286,0.0,0.21428571428571425,0.047619047619047616,0.563690476190476
5,4,0.4,0.5158730158730159,0.5634920634920635,0.047619047619047616,0.5158730158730159,0.43650793650793646,7,21,0.4113425925925926,0.6150793650793649,0.4047619047619047,0.7223214285714284,0.0,0.09553571428571403,0.337202380952381,0.6904761904761905,0.2776785714285714,0.5952380952380952
5,4,0.6,0.5436507936507936,0.3174603174603175,0.015873015873015872,0.3174603174603175,0.6666666666666666,7,21,0.3769345238095238,0.7084821428571427,0.10694444444444445,0.5476190476190476,0.0,0.05158730158730158,0.10694444444444445,0.5476190476190476,0.4523809523809524,0.869047619047619
